seed,topology_model,n_cells,n_sites,missing_rate,mutation_rate,repeat,triplet_samples_requested,possible_triplets,simulation_seconds,sampled_triplets_inferred,sampled_triplet_coverage,algorithm,triplet_accuracy,rf_similarity,triplet_inference_seconds,solve_seconds,evaluation_seconds,status,error
305122045,random_binary_leaf_splitting,512,30,0.1,0.8,19,50000,22238720,0.20345247200020822,48305,0.9661,SampledRecursiveTMC_SMJ32,0.5554,0.0,1.588630727999771,64.14923953200014,0.6465887219997057,ok,
305122045,random_binary_leaf_splitting,512,30,0.1,0.8,19,50000,22238720,0.20345247200020822,48305,0.9661,VanillaGreedy,0.6098,0.023552502453385693,0.0,1.0715784029998758,0.6664759609998328,ok,
305122045,random_binary_leaf_splitting,512,30,0.1,0.8,19,50000,22238720,0.20345247200020822,48305,0.9661,UPGMA,0.5214,0.039215686274509776,0.0,1.4518761499998618,0.6736063210000793,ok,
305122045,random_binary_leaf_splitting,512,30,0.1,0.8,19,50000,22238720,0.20345247200020822,48305,0.9661,NeighborJoining,0.5212,0.03725490196078429,0.0,1.262896101000024,0.6767423810001674,ok,
305122046,random_binary_leaf_splitting,512,30,0.1,0.8,20,50000,22238720,0.24395331599998826,48249,0.96498,SampledRecursiveTMC_SMJ32,0.6114,0.0,1.6588789950001228,58.768063815000005,0.6791687350000757,ok,
305122046,random_binary_leaf_splitting,512,30,0.1,0.8,20,50000,22238720,0.24395331599998826,48249,0.96498,VanillaGreedy,0.5002,0.01764705882352946,0.0,0.9323876919997929,0.7376706129998638,ok,
305122046,random_binary_leaf_splitting,512,30,0.1,0.8,20,50000,22238720,0.24395331599998826,48249,0.96498,UPGMA,0.6712,0.050980392156862786,0.0,1.4155192780003745,0.7198588459996245,ok,
305122046,random_binary_leaf_splitting,512,30,0.1,0.8,20,50000,22238720,0.24395331599998826,48249,0.96498,NeighborJoining,0.5024,0.0490196078431373,0.0,1.1892840670002442,0.7104887850000523,ok,
305122047,random_binary_leaf_splitting,512,30,0.1,0.8,21,50000,22238720,0.1980668570004127,48335,0.9667,SampledRecursiveTMC_SMJ32,0.6356,0.0,1.469170361000124,56.524168346999886,0.7552534939995894,ok,
305122047,random_binary_leaf_splitting,512,30,0.1,0.8,21,50000,22238720,0.1980668570004127,48335,0.9667,VanillaGreedy,0.483,0.01764705882352946,0.0,1.1498471579998295,0.8841089929996997,ok,
305122047,random_binary_leaf_splitting,512,30,0.1,0.8,21,50000,22238720,0.1980668570004127,48335,0.9667,UPGMA,0.4672,0.05294117647058827,0.0,1.4246534700000666,0.8782749099996181,ok,
305122047,random_binary_leaf_splitting,512,30,0.1,0.8,21,50000,22238720,0.1980668570004127,48335,0.9667,NeighborJoining,0.5156,0.04313725490196074,0.0,1.3333865189997596,0.7133348139996087,ok,
305122048,random_binary_leaf_splitting,512,30,0.1,0.8,22,50000,22238720,0.25342509499978405,48432,0.96864,SampledRecursiveTMC_SMJ32,0.6266,0.0,1.6152440820001175,64.23669850599981,0.8811163459999989,ok,
